Timestamp,Trade High,Trade Close,Trade Low,Trade Open
2/12/2011,1146.63,1138.88,1131.22,1131.56
1/12/2011,1141.02,1131.52,1123.98,1135.16
30/11/2011,1135.6,1135.24,1093.67,1095.9
29/11/2011,1101.07,1095.86,1074.88,1075.3
28/11/2011,1075.98,1075.44,1049.17,1049.54
25/11/2011,1054.62,1049.56,1038.77,1052.97
23/11/2011,1075.3,1047.99,1047.19,1074.65
22/11/2011,1083.93,1074.68,1066.68,1069.58
21/11/2011,1099.93,1069.6,1069.17,1096.9
18/11/2011,1105.55,1096.62,1090.96,1103.76
17/11/2011,1121.25,1103.78,1098.5,1120.66
16/11/2011,1129.91,1120.65,1116.09,1125.69
15/11/2011,1138.35,1125.6,1121.63,1137.45
14/11/2011,1158.27,1138.94,1135.53,1152.27
11/11/2011,1154.94,1152.28,1123.29,1123.46
10/11/2011,1143.07,1123.83,1120,1143.07
9/11/2011,1170.19,1143.23,1139.43,1160.49
8/11/2011,1164.26,1160.46,1145.48,1148.31
7/11/2011,1156.97,1148.31,1142.53,1156.72
4/11/2011,1164.33,1156.65,1147.57,1147.57
3/11/2011,1154.45,1147.41,1131.48,1144.09
2/11/2011,1183.66,1144.07,1134.97,1183.24
1/11/2011,1183.66,1145.16,1137.79,1183.24
31/10/2011,1208.12,1183.21,1176.97,1208.12
28/10/2011,1209,1208.12,1191.85,1192.02
27/10/2011,1198.39,1191.51,1145.54,1146.54
26/10/2011,1157.2,1145.33,1139,1157.18
25/10/2011,1173.99,1157.21,1154.55,1169.42
24/10/2011,1174.39,1169.39,1156.11,1156.11
21/10/2011,1156.3,1155.76,1127.32,1127.32
20/10/2011,1155.38,1127.32,1125.36,1155.32
19/10/2011,1161.02,1155.29,1142.06,1142.06
18/10/2011,1163.95,1142.06,1137.29,1163.95
17/10/2011,1178.7,1163.92,1159.55,1166.45
14/10/2011,1171.04,1166.45,1148.76,1151.17
13/10/2011,1165.91,1151.17,1147.09,1150.88
12/10/2011,1152.65,1150.88,1119.92,1127.51
11/10/2011,1133.44,1127.14,1120.82,1129
10/10/2011,1131.05,1128.95,1109.67,1116.74
7/10/2011,1121.97,1116.75,1096.12,1096.29
6/10/2011,1101.59,1096.25,1060.24,1060.31
5/10/2011,1064.07,1060.31,1041.36,1047.5
4/10/2011,1072.4,1047.47,1039.51,1072.33
3/10/2011,1098.08,1072.33,1068.62,1098.08
30/09/2011,1115.17,1098.11,1094.46,1113.54
29/09/2011,1119.68,1113.56,1101.15,1118.98
28/09/2011,1130.16,1118.98,1111.33,1120.22
27/09/2011,1121.42,1120.2,1081.36,1081.42
26/09/2011,1093.22,1081.4,1067.54,1085.96
23/09/2011,1092.07,1085.96,1070.81,1087.2
22/09/2011,1142.63,1087.27,1083.25,1142.61
21/09/2011,1154.54,1142.62,1132.99,1147.34
20/09/2011,1147.91,1147.34,1130.61,1139.08
19/09/2011,1170.99,1139.11,1136.63,1170.98
